UNITID,EFALEVEL,EFTOTLT,EFTOTLM,EFTOTLW
442976,1,89,25,64
442985,1,9,3,6
443021,1,158,115,43
443030,1,59,13,46
443049,1,318,235,83
443058,1,39,13,26
443076,1,181,100,81
443100,1,188,101,87
443128,1,1342,655,687
443137,1,353,55,298
443146,1,128,68,60
443173,1,39,2,37
443207,1,242,233,9
443216,1,196,181,15
443225,1,65,63,2
443234,1,240,21,219
443252,1,756,477,279
443261,1,229,44,185
443270,1,205,61,144
443289,1,49,3,46
443298,1,196,174,22
443322,1,118,23,95
443331,1,1435,342,1093
443340,1,72,36,36
443359,1,107,80,27
443377,1,105,101,4
443410,1,1000,812,188
443429,1,69,11,58
443438,1,214,66,148
443456,1,119,54,65
443465,1,67,23,44
443474,1,933,302,631
443483,1,157,30,127
443492,1,2683,1048,1635
443526,1,591,465,126
443535,1,322,186,136
443544,1,372,100,272
443562,1,2565,719,1846
443571,1,37,25,12
443599,1,387,32,355
443623,1,1108,535,573
443632,1,187,137,50
443641,1,188,12,176
443650,1,442,52,390
443669,1,328,47,281
443678,1,94,6,88
443687,1,417,185,232
443696,1,25,9,16
443702,1,15,11,4
443739,1,282,21,261
443748,1,527,70,457
443766,1,1973,512,1461
443784,1,2329,874,1455
443827,1,461,199,262
443836,1,370,35,335
443845,1,413,78,335
443854,1,643,250,393
443881,1,889,295,594
443890,1,1249,272,977
443906,1,61,32,29
443924,1,1035,304,731
443942,1,105,6,99
443951,1,96,55,41
443979,1,57,1,56
444024,1,859,150,709
444042,1,1869,605,1264
444051,1,99,4,95
444079,1,158,95,63
444088,1,272,57,215
444103,1,11,10,1
444121,1,73,23,50
444130,1,10928,4212,6716
444158,1,20826,7588,13238
444167,1,3800,943,2857
444194,1,147,13,134
444200,1,438,59,379
444219,1,8034,3321,4713
444228,1,31,0,31
444237,1,494,127,367
444255,1,190,39,151
444264,1,144,63,81
444282,1,145,9,136
444291,1,122,4,118
444307,1,109,4,105
444316,1,165,6,159
444325,1,120,17,103
444334,1,39,9,30
444343,1,227,40,187
444352,1,55,10,45
444361,1,103,51,52
444370,1,97,95,2
444389,1,347,76,271
444398,1,189,97,92
444404,1,70,38,32
444413,1,113,113,0
444422,1,141,1,140
444440,1,82,7,75
444468,1,27,0,27
444486,1,386,31,355
444510,1,166,40,126
444529,1,121,23,98
444547,1,31,2,29
444556,1,261,111,150
444565,1,374,133,241
444574,1,1083,240,843
444583,1,886,433,453
444592,1,29,0,29
444608,1,57,2,55
444635,1,48,7,41
444644,1,36,0,36
444653,1,77,7,70
444662,1,59,29,30
444671,1,258,131,127
444680,1,52,28,24
444699,1,53,21,32
444705,1,19,5,14
444714,1,539,78,461
444723,1,2782,892,1890
444732,1,180,67,113
444750,1,6,0,6
444769,1,283,41,242
444778,1,163,69,94
444787,1,86,14,72
444796,1,92,50,42
444811,1,289,35,254
444857,1,56,2,54
444866,1,177,31,146
444893,1,290,50,240
444909,1,5,0,5
444927,1,426,226,200
444936,1,49,4,45
444945,1,129,10,119
444954,1,2257,1179,1078
444972,1,64,29,35
444990,1,478,153,325
445018,1,1573,443,1130
445027,1,11619,4081,7538
445072,1,448,225,223
445081,1,208,191,17
445090,1,561,84,477
445115,1,605,343,262
445124,1,351,161,190
445133,1,521,215,306
445142,1,81,20,61
445188,1,6195,3042,3153
445197,1,505,89,416
445203,1,474,74,400
445212,1,252,37,215
445221,1,58,4,54
445230,1,1018,238,780
445249,1,298,21,277
445258,1,266,94,172
445267,1,4555,1563,2992
445276,1,420,189,231
445300,1,455,211,244
445319,1,180,92,88
445328,1,282,30,252
445346,1,267,35,232
445364,1,392,71,321
445373,1,434,71,363
445382,1,327,46,281
445391,1,216,86,130
445434,1,711,284,427
445452,1,155,153,2
445461,1,934,495,439
445470,1,237,22,215
445498,1,76,76,0
445504,1,76,5,71
445531,1,13,1,12
445540,1,67,7,60
445559,1,305,196,109
445577,1,293,109,184
445601,1,883,108,775
445610,1,74,6,68
445638,1,43,3,40
445647,1,93,3,90
445656,1,136,5,131
445665,1,233,27,206
445674,1,1162,689,473
445683,1,35,2,33
445692,1,420,385,35
445708,1,2325,852,1473
445717,1,2725,1304,1421
445726,1,269,156,113
445735,1,1343,629,714
445744,1,464,71,393
445753,1,130,58,72
445762,1,77,70,7
445771,1,275,62,213
445780,1,32,2,30
445799,1,1728,1690,38
445814,1,616,99,517
445841,1,113,4,109
445850,1,119,12,107
445869,1,80,27,53
445896,1,21,1,20
445911,1,532,184,348
445920,1,354,104,250
445939,1,117,30,87
445948,1,207,35,172
445957,1,268,86,182
445984,1,33,33,0
445993,1,307,21,286
446002,1,65,18,47
446039,1,42,17,25
446048,1,988,507,481
446057,1,39,4,35
446075,1,21,2,19
446084,1,201,27,174
446093,1,167,12,155
446109,1,185,34,151
446118,1,615,93,522
446127,1,228,22,206
446136,1,422,95,327
446145,1,36,6,30
446163,1,60,32,28
446190,1,27,1,26
446206,1,33,1,32
446215,1,44,1,43
446224,1,64,23,41
446233,1,178,109,69
446242,1,176,46,130
446251,1,67,25,42
446260,1,128,6,122
446288,1,87,2,85
446303,1,68,4,64
446349,1,3,2,1
446385,1,148,112,36
446394,1,105,46,59
446400,1,148,44,104
446437,1,401,195,206
446446,1,45,12,33
446455,1,38,35,3
446464,1,57,7,50
446491,1,17,2,15
446516,1,31,7,24
446525,1,92,80,12
446534,1,114,70,44
446543,1,26,2,24
446552,1,1502,680,822
446561,1,963,278,685
446570,1,17,6,11
446589,1,133,26,107
446598,1,28,5,23
446604,1,1561,1561,0
446640,1,344,176,168
446668,1,834,405,429
446677,1,140,50,90
446710,1,58,25,33
446729,1,61,24,37
446738,1,1048,580,468
446747,1,756,345,411
446756,1,706,311,395
446765,1,166,69,97
446774,1,5020,1705,3315
446792,1,447,316,131
446808,1,384,191,193
446817,1,117,56,61
446835,1,721,377,344
446844,1,572,303,269
446853,1,232,45,187
446880,1,395,50,345
446899,1,362,289,73
446905,1,351,295,56
446914,1,616,518,98
446923,1,458,260,198
446932,1,410,234,176
446996,1,64,0,64
447014,1,327,18,309
447023,1,648,251,397
447050,1,282,87,195
447069,1,371,200,171
447102,1,512,80,432
447120,1,312,68,244
447148,1,249,10,239
447157,1,6,0,6
447166,1,92,1,91
447175,1,136,11,125
447209,1,462,59,403
447218,1,420,51,369
447227,1,573,99,474
447236,1,367,87,280
447245,1,527,73,454
447254,1,18,1,17
447263,1,1036,131,905
447272,1,620,218,402
447290,1,953,268,685
447315,1,58,6,52
447324,1,129,6,123
447333,1,49,4,45
447342,1,52,2,50
447351,1,318,87,231
447360,1,279,74,205
447379,1,172,20,152
447388,1,88,12,76
447403,1,1083,1053,30
447421,1,241,76,165
447430,1,142,10,132
447449,1,57,5,52
447458,1,574,469,105
447467,1,111,6,105
447476,1,97,21,76
447494,1,298,39,259
447519,1,321,26,295
447528,1,138,40,98
447582,1,2551,846,1705
447591,1,229,34,195
447625,1,186,62,124
447634,1,362,86,276
447652,1,391,138,253
447661,1,158,65,93
447670,1,264,89,175
447689,1,9719,4487,5232
447698,1,124,41,83
447704,1,64,7,57
447713,1,78,20,58
447722,1,73,21,52
447731,1,148,2,146
447759,1,234,73,161
447768,1,1634,353,1281
447777,1,686,418,268
447795,1,28,7,21
447801,1,177,78,99
447810,1,321,26,295
447847,1,126,120,6
447856,1,103,18,85
447865,1,36,26,10
447874,1,375,361,14
447883,1,65,44,21
447892,1,167,39,128
447908,1,29,2,27
447917,1,64,13,51
447935,1,427,36,391
447953,1,367,174,193
447962,1,162,2,160
447971,1,45,1,44
447980,1,44,2,42
447999,1,125,36,89
448008,1,20,0,20
448017,1,134,2,132
448026,1,90,0,90
448035,1,25,3,22
448044,1,7,1,6
448053,1,52,3,49
448071,1,238,34,204
448105,1,18,8,10
448114,1,599,201,398
448123,1,120,25,95
448141,1,39,2,37
448150,1,121,15,106
448196,1,178,16,162
448202,1,53,4,49
448211,1,45,3,42
448220,1,42,4,38
448239,1,176,3,173
448248,1,1959,856,1103
448257,1,23,0,23
448275,1,21,5,16
448284,1,1653,520,1133
448309,1,1118,249,869
448345,1,862,359,503
448354,1,216,26,190
448372,1,144,66,78
448406,1,175,10,165
448415,1,603,40,563
448424,1,88,3,85
448433,1,1916,1857,59
448442,1,369,293,76
448451,1,439,380,59
448460,1,186,166,20
448479,1,402,316,86
448488,1,242,180,62
448497,1,219,185,34
448503,1,408,217,191
448512,1,519,271,248
448521,1,34,16,18
448558,1,54,18,36
448567,1,784,256,528
448576,1,2307,1356,951
448585,1,477,75,402
448594,1,4102,1551,2551
448600,1,317,26,291
448619,1,312,32,280
448628,1,348,199,149
448646,1,70,8,62
448664,1,425,268,157
448673,1,1851,365,1486
448691,1,30,9,21
448707,1,254,79,175
448716,1,276,45,231
448734,1,398,119,279
448752,1,322,114,208
448761,1,159,42,117
448770,1,291,284,7
448789,1,9,6,3
448798,1,66,13,53
448804,1,328,80,248
448822,1,20,8,12
448831,1,60,21,39
448840,1,4660,1802,2858
448859,1,133,130,3
448886,1,10400,3320,7080
448895,1,488,60,428
448974,1,378,44,334
448983,1,441,90,351
449010,1,991,517,474
449038,1,2973,1191,1782
449074,1,889,119,770
449083,1,323,308,15
449092,1,178,171,7
449117,1,320,37,283
449126,1,222,30,192
449135,1,395,140,255
449144,1,188,58,130
449153,1,169,64,105
449162,1,73,3,70
449171,1,111,1,110
449180,1,78,3,75
449199,1,69,4,65
449205,1,43,0,43
449214,1,51,2,49
449223,1,73,1,72
449232,1,78,4,74
449241,1,63,1,62
449250,1,272,69,203
449269,1,697,282,415
449302,1,33,3,30
449311,1,176,3,173
449320,1,748,739,9
449339,1,55422,33356,22066
449348,1,45,21,24
449357,1,118,11,107
449366,1,241,2,239
449375,1,78,55,23
449384,1,135,99,36
449393,1,129,35,94
449436,1,206,30,176
449445,1,90,24,66
449454,1,69,8,61
449463,1,29,7,22
449472,1,80,2,78
449481,1,56,23,33
449490,1,113,15,98
449506,1,544,98,446
449524,1,234,79,155
449533,1,46,3,43
449579,1,11,3,8
449597,1,33,0,33
449603,1,130,120,10
449612,1,195,92,103
449658,1,114,114,0
449667,1,66,9,57
449676,1,119,53,66
449685,1,124,13,111
449700,1,505,110,395
449719,1,202,20,182
449728,1,65,3,62
449746,1,59,35,24
449764,1,118,82,36
449773,1,199,76,123
449782,1,70,2,68
449791,1,93,8,85
449807,1,119,2,117
449816,1,509,330,179
449852,1,64,0,64
449861,1,88,4,84
449870,1,362,176,186
449889,1,3021,965,2056
449898,1,983,221,762
449904,1,248,25,223
449922,1,220,105,115
449931,1,1221,495,726
449959,1,194,17,177
449968,1,301,26,275
449977,1,237,12,225
449986,1,280,24,256
449995,1,181,16,165
450003,1,277,74,203
450021,1,167,26,141
450049,1,466,257,209
450058,1,628,60,568
450067,1,501,111,390
450076,1,543,77,466
450085,1,643,272,371
450094,1,1185,672,513
450119,1,181,44,137
450128,1,231,24,207
450146,1,80,8,72
450155,1,286,50,236
450173,1,11170,913,10257
450182,1,482,109,373
450191,1,470,72,398
450207,1,230,141,89
450216,1,656,458,198
450225,1,357,264,93
450234,1,303,180,123
450243,1,483,383,100
450252,1,690,437,253
450261,1,206,162,44
450270,1,330,166,164
450289,1,410,90,320
450298,1,347,114,233
450304,1,215,103,112
450377,1,852,206,646
450395,1,151,2,149
450401,1,312,7,305
450429,1,163,39,124
450447,1,194,67,127
450456,1,301,66,235
450465,1,356,170,186
450474,1,827,302,525
450483,1,313,143,170
450526,1,704,196,508
450535,1,551,139,412
450544,1,487,215,272
450571,1,1506,275,1231
450580,1,88,3,85
450599,1,140,15,125
450605,1,127,5,122
450614,1,123,9,114
450623,1,168,4,164
450632,1,154,35,119
450641,1,119,7,112
450650,1,225,19,206
450669,1,33,16,17
450678,1,101,17,84
450696,1,465,66,399
450702,1,451,69,382
450720,1,142,10,132
450739,1,172,9,163
450757,1,104,4,100
450766,1,215,84,131
450784,1,81,3,78
450793,1,114,5,109
450809,1,41,0,41
450818,1,57,6,51
450827,1,113,13,100
450836,1,114,17,97
450845,1,32,2,30
450854,1,94,2,92
450863,1,46,1,45
450872,1,84,2,82
450881,1,57,3,54
450933,1,20185,12248,7937
450942,1,953,455,498
450951,1,136,75,61
450960,1,181,19,162
450979,1,7093,4656,2437
450988,1,197,44,153
451006,1,146,27,119
451015,1,278,56,222
451033,1,22,0,22
451042,1,64,12,52
451051,1,68,4,64
451060,1,300,194,106
451079,1,77,18,59
451097,1,152,32,120
451103,1,822,235,587
451121,1,119,12,107
451130,1,213,127,86
451149,1,619,46,573
451158,1,666,34,632
451167,1,103,65,38
451194,1,26,4,22
451219,1,17,9,8
451228,1,208,184,24
451237,1,59,3,56
451255,1,25,0,25
451264,1,177,42,135
451282,1,193,7,186
451291,1,22,3,19
451307,1,61,1,60
451316,1,72,0,72
451334,1,96,20,76
451343,1,160,9,151
451352,1,345,49,296
451361,1,22,5,17
451370,1,61,61,0
451398,1,182,182,0
451404,1,307,307,0
451413,1,155,87,68
451422,1,110,19,91
451440,1,359,72,287
451459,1,108,45,63
451468,1,212,9,203
451477,1,292,252,40
451495,1,47,6,41
451501,1,125,53,72
451510,1,542,303,239
451529,1,51,0,51
451538,1,120,107,13
451547,1,25,1,24
451556,1,1296,559,737
451565,1,171,7,164
451574,1,179,10,169
451583,1,165,94,71
451592,1,7,0,7
451617,1,37,2,35
451626,1,93,14,79
451635,1,25,3,22
451644,1,8,1,7
451653,1,30,1,29
451662,1,10906,4232,6674
451671,1,1877,758,1119
451699,1,899,207,692
451705,1,75,26,49
451714,1,257,17,240
451741,1,631,206,425
451750,1,760,80,680
451769,1,395,104,291
451796,1,1003,486,517
451802,1,18,1,17
451811,1,38,3,35
451820,1,1413,818,595
451848,1,570,309,261
451857,1,252,26,226
451866,1,318,72,246
451875,1,254,73,181
451884,1,375,94,281
451909,1,487,41,446
451918,1,142,7,135
451936,1,282,230,52
451945,1,372,208,164
451954,1,208,172,36
451963,1,345,262,83
451972,1,247,173,74
451981,1,178,137,41
451990,1,451,231,220
452009,1,45,1,44
452018,1,495,251,244
452027,1,781,379,402
452036,1,375,193,182
452045,1,439,218,221
452054,1,488,247,241
452063,1,892,471,421
452072,1,116,8,108
452081,1,423,13,410
452090,1,243,98,145
452106,1,100,97,3
452115,1,656,96,560
452124,1,346,142,204
452373,1,554,87,467
452692,1,2,0,2
452771,1,16,2,14
452780,1,18,1,17
452841,1,134,13,121
452948,1,505,60,445
452984,1,16,2,14
453075,1,66,9,57
453109,1,161,95,66
453127,1,568,222,346
453163,1,3802,1061,2741
453215,1,788,290,498
453297,1,40,21,19
453455,1,167,28,139
453464,1,130,31,99
453473,1,137,30,107
453482,1,82,17,65
453552,1,352,63,289
453570,1,50,1,49
453747,1,165,28,137
453756,1,102,62,40
453817,1,267,257,10
454078,1,40,23,17
454175,1,607,101,506
454184,1,516,206,310
454227,1,13720,1120,12600
454236,1,667,105,562
454245,1,515,72,443
454306,1,329,62,267
454315,1,89,1,88
454324,1,70,0,70
454333,1,85,3,82
454342,1,87,2,85
454351,1,123,3,120
454360,1,163,6,157
454379,1,130,9,121
454388,1,87,8,79
454397,1,117,4,113
454458,1,84,26,58
454467,1,95,7,88
454476,1,61,2,59
454485,1,28,1,27
454494,1,62,5,57
454500,1,96,6,90
454519,1,92,2,90
454528,1,66,3,63
454537,1,61,3,58
454546,1,98,3,95
454555,1,224,12,212
454573,1,276,6,270
454582,1,458,179,279
454591,1,124,36,88
454607,1,211,13,198
454616,1,242,217,25
454625,1,460,59,401
454652,1,162,9,153
454689,1,785,441,344
454698,1,329,161,168
454704,1,33,32,1
454722,1,23,1,22
454731,1,123,44,79
454740,1,215,64,151
454759,1,23,20,3
454768,1,174,11,163
454777,1,204,22,182
454786,1,856,358,498
454795,1,228,51,177
454801,1,69,8,61
454810,1,351,182,169
454829,1,633,195,438
454838,1,43,11,32
454847,1,63,10,53
454856,1,696,90,606
454865,1,204,35,169
454874,1,55,4,51
454883,1,632,30,602
454892,1,32,0,32
454908,1,38,20,18
454917,1,198,25,173
454926,1,225,17,208
454935,1,67,0,67
454944,1,139,6,133
454953,1,33,0,33
454962,1,31,0,31
454971,1,177,5,172
454980,1,133,3,130
454999,1,114,2,112
455008,1,139,2,137
455017,1,35,2,33
455026,1,96,88,8
455035,1,17,9,8
455053,1,47,11,36
455062,1,73,4,69
455071,1,119,27,92
455080,1,97,8,89
455099,1,68,48,20
455105,1,58,3,55
455114,1,9191,3975,5216
455141,1,156,9,147
455169,1,1410,591,819
455178,1,78,22,56
455187,1,136,0,136
455196,1,1887,183,1704
455202,1,274,46,228
455211,1,115,10,105
455220,1,62,1,61
455239,1,72,0,72
455248,1,4,0,4
455257,1,347,347,0
455275,1,271,12,259
455284,1,244,10,234
455293,1,12,1,11
455327,1,72,21,51
455336,1,176,158,18
455345,1,60,12,48
455354,1,303,9,294
455372,1,14,1,13
455381,1,67,1,66
455390,1,265,42,223
455406,1,359,187,172
455415,1,18,4,14
455424,1,402,302,100
455433,1,273,54,219
455460,1,208,51,157
455479,1,817,95,722
455488,1,363,73,290
455497,1,80,23,57
455512,1,2641,1051,1590
455549,1,97,7,90
455558,1,165,81,84
455567,1,355,162,193
455585,1,182,45,137
455600,1,393,106,287
455619,1,604,122,482
455628,1,711,168,543
455646,1,48,6,42
455655,1,446,70,376
455664,1,2006,421,1585
455673,1,50,6,44
455682,1,267,50,217
455707,1,38,7,31
455716,1,629,173,456
455725,1,363,18,345
455734,1,223,39,184
455743,1,33,12,21
455752,1,73,73,0
455761,1,348,21,327
455770,1,66,32,34
455789,1,13,2,11
455798,1,107,8,99
455804,1,135,85,50
455813,1,85,49,36
455831,1,122,20,102
455840,1,155,12,143
455859,1,192,11,181
455868,1,43,12,31
455877,1,183,12,171
455886,1,150,7,143
455895,1,165,2,163
455901,1,216,12,204
455910,1,58,13,45
455929,1,55,4,51
455938,1,15,0,15
455947,1,138,9,129
455956,1,109,27,82
455965,1,139,9,130
455974,1,136,16,120
455983,1,310,131,179
455992,1,359,110,249
456001,1,53,51,2
456010,1,244,110,134
456029,1,143,12,131
456038,1,511,65,446
456056,1,425,55,370
456065,1,181,6,175
456074,1,216,7,209
456092,1,131,10,121
456117,1,106,21,85
456126,1,101,6,95
456135,1,110,4,106
456144,1,87,77,10
456153,1,126,115,11
456180,1,271,46,225
456205,1,459,42,417
456214,1,169,71,98
456250,1,149,7,142
456278,1,60,10,50
456287,1,114,2,112
456296,1,1251,648,603
456302,1,302,151,151
456311,1,274,59,215
456320,1,390,69,321
456339,1,413,84,329
456348,1,11746,2987,8759
456357,1,551,30,521
456366,1,357,23,334
456375,1,180,18,162
456393,1,231,169,62
456409,1,206,167,39
456418,1,263,136,127
456427,1,258,237,21
456436,1,339,187,152
456445,1,416,304,112
456454,1,333,91,242
456481,1,120,58,62
456490,1,125,82,43
456506,1,138,8,130
456515,1,136,7,129
456542,1,364,195,169
456551,1,42,0,42
456560,1,183,119,64
456588,1,54,2,52
456597,1,93,1,92
456612,1,637,193,444
456621,1,210,75,135
456630,1,103,47,56
456667,1,950,309,641
456719,1,85,1,84
456728,1,39,3,36
456737,1,102,7,95
456746,1,102,6,96
456755,1,40,2,38
456764,1,96,4,92
456773,1,54,3,51
456782,1,291,77,214
456791,1,845,147,698
456807,1,171,35,136
456816,1,221,43,178
456825,1,106,8,98
456834,1,237,127,110
456852,1,578,193,385
456861,1,655,110,545
456922,1,278,75,203
456931,1,268,125,143
456940,1,441,226,215
456959,1,495,143,352
456968,1,179,5,174
456977,1,174,34,140
457004,1,99,33,66
457022,1,205,44,161
457031,1,49,0,49
457077,1,411,21,390
457086,1,166,35,131
457101,1,255,94,161
457110,1,333,55,278
457129,1,649,88,561
457174,1,336,26,310
457183,1,100,17,83
457192,1,126,86,40
457208,1,28,15,13
457226,1,58,48,10
457244,1,54,30,24
457253,1,46,1,45
457271,1,63,21,42
457280,1,115,4,111
457299,1,145,30,115
457314,1,105,25,80
457323,1,275,9,266
457332,1,38,5,33
457341,1,132,10,122
457350,1,34,0,34
457378,1,130,40,90
457387,1,386,166,220
457396,1,120,21,99
457402,1,46,14,32
457411,1,268,255,13
457420,1,99,4,95
457439,1,37,1,36
457448,1,148,15,133
457457,1,44,5,39
457466,1,60,50,10
457475,1,93,4,89
457484,1,147,79,68
457493,1,25,0,25
457509,1,33,0,33
457527,1,344,48,296
457536,1,45,16,29
457545,1,131,5,126
457554,1,45,0,45
457563,1,208,7,201
457572,1,106,2,104
457581,1,152,5,147
457590,1,48,2,46
457606,1,35,2,33
457615,1,50,6,44
457624,1,28,2,26
457633,1,129,4,125
457642,1,59,3,56
457651,1,95,22,73
457679,1,33,1,32
457688,1,1822,1364,458
457697,1,78,36,42
457703,1,105,58,47
457721,1,30,2,28
457730,1,515,122,393
457749,1,102,5,97
457758,1,175,158,17
457767,1,176,33,143
457776,1,84,5,79
457785,1,118,7,111
457794,1,82,11,71
457800,1,363,84,279
457819,1,614,253,361
457828,1,42,13,29
457837,1,109,3,106
457846,1,74,13,61
457855,1,130,6,124
457864,1,113,22,91
457873,1,142,108,34
457891,1,53,1,52
457916,1,76,4,72
457925,1,22,12,10
457943,1,100,57,43
457952,1,206,9,197
457961,1,56,5,51
457989,1,50,2,48
457998,1,33,0,33
458007,1,53,1,52
458016,1,114,99,15
458025,1,11,5,6
458034,1,61,16,45
458043,1,91,1,90
458052,1,60,1,59
458061,1,89,16,73
458070,1,241,21,220
458098,1,80,7,73
458104,1,70,2,68
458113,1,54,27,27
458122,1,1,0,1
458131,1,287,28,259
458140,1,52,49,3
458159,1,143,55,88
458168,1,87,3,84
458177,1,86,2,84
458186,1,299,89,210
458195,1,3,1,2
458210,1,1528,351,1177
458229,1,1103,282,821
458247,1,309,37,272
458256,1,902,95,807
458265,1,849,419,430
458274,1,305,21,284
458283,1,478,65,413
458292,1,65,0,65
458308,1,15,0,15
458317,1,107,1,106
458326,1,72,3,69
458335,1,138,2,136
458344,1,50,1,49
458353,1,58,4,54
458362,1,77,1,76
458371,1,36,16,20
458380,1,229,32,197
458399,1,59,4,55
458405,1,734,139,595
458414,1,1335,398,937
458423,1,96,26,70
458432,1,244,43,201
458441,1,504,89,415
458469,1,1118,323,795
458478,1,304,37,267
458487,1,161,11,150
458496,1,663,279,384
458502,1,589,98,491
458557,1,368,29,339
458593,1,550,69,481
458609,1,107,9,98
458618,1,57,1,56
458627,1,36,6,30
458636,1,41,2,39
458645,1,45,1,44
458654,1,291,37,254
458663,1,107,14,93
458681,1,172,44,128
458690,1,422,72,350
458706,1,382,23,359
458715,1,278,54,224
458733,1,266,51,215
458742,1,203,61,142
458751,1,243,36,207
458760,1,216,42,174
458779,1,194,31,163
458797,1,303,43,260
458803,1,169,5,164
458812,1,65,0,65
458821,1,94,13,81
458830,1,197,15,182
458849,1,130,13,117
458858,1,170,11,159
458867,1,255,3,252
458885,1,207,55,152
458919,1,5071,1396,3675
458937,1,182,60,122
458955,1,277,67,210
458964,1,2051,592,1459
458973,1,1322,507,815
458982,1,1115,574,541
458991,1,245,61,184
459000,1,117,10,107
459019,1,134,7,127
459028,1,65,5,60
459037,1,151,12,139
459046,1,121,12,109
459055,1,111,4,107
459064,1,105,10,95
459073,1,61,2,59
459091,1,151,100,51
459107,1,641,140,501
459116,1,187,16,171
459125,1,75,4,71
459134,1,44,3,41
459143,1,68,6,62
459152,1,159,38,121
459161,1,90,24,66
459170,1,73,4,69
459189,1,64,3,61
459198,1,248,12,236
459204,1,904,174,730
459213,1,843,163,680
459222,1,116,59,57
459231,1,259,10,249
459259,1,699,94,605
459268,1,790,172,618
459277,1,485,14,471
459286,1,231,12,219
459295,1,86,2,84
459301,1,129,3,126
459310,1,35,2,33
459329,1,161,105,56
459338,1,75,16,59
459347,1,36,2,34
459356,1,84,35,49
459365,1,77,1,76
459374,1,58,5,53
459392,1,105,5,100
459408,1,51,6,45
459417,1,81,63,18
459426,1,84,1,83
459435,1,27,27,0
459444,1,45,1,44
459453,1,138,10,128
459462,1,218,203,15
459471,1,27,0,27
459480,1,30,3,27
459499,1,28,3,25
459514,1,48,23,25
459523,1,35,2,33
459532,1,105,5,100
459541,1,32,3,29
459550,1,152,2,150
459569,1,19,0,19
459578,1,161,6,155
459587,1,357,148,209
459596,1,368,162,206
459602,1,250,135,115
459611,1,249,174,75
459620,1,37,34,3
459639,1,479,429,50
459648,1,139,111,28
459657,1,187,132,55
459666,1,265,222,43
459675,1,247,201,46
459684,1,148,123,25
459693,1,319,248,71
459709,1,438,329,109
459718,1,569,464,105
459727,1,363,150,213
459736,1,1357,544,813
459745,1,373,67,306
459815,1,96,13,83
459824,1,1248,582,666
459833,1,66,18,48
459842,1,435,84,351
459851,1,343,83,260
459930,1,1091,215,876
459958,1,333,99,234
459967,1,313,88,225
459985,1,331,64,267
459994,1,2796,989,1807
460002,1,102,13,89
460011,1,146,7,139
460020,1,543,148,395
460039,1,780,256,524
460048,1,634,127,507
460057,1,47,1,46
460066,1,75,5,70
460075,1,405,274,131
460093,1,181,13,168
460109,1,174,13,161
460118,1,151,5,146
460127,1,131,4,127
460136,1,898,178,720
460145,1,220,143,77
460172,1,170,161,9
460181,1,703,133,570
460190,1,521,71,450
460206,1,681,120,561
460215,1,476,444,32
460349,1,135,48,87
460358,1,535,119,416
460367,1,433,108,325
460385,1,55,5,50
460394,1,8420,3719,4701
460446,1,224,25,199
460455,1,61,13,48
460464,1,9648,4413,5235
460473,1,15,1,14
460482,1,223,23,200
460516,1,162,7,155
460525,1,255,22,233
460534,1,458,23,435
460543,1,1006,979,27
460552,1,56,14,42
460561,1,53,0,53
460570,1,257,36,221
460589,1,317,29,288
460598,1,594,121,473
460604,1,41,40,1
460613,1,785,312,473
460631,1,53,4,49
460640,1,66,19,47
460659,1,96,8,88
460668,1,356,81,275
460677,1,613,131,482
460686,1,143,46,97
460695,1,49,7,42
460701,1,220,70,150
460710,1,180,12,168
460729,1,2628,1677,951
460738,1,3676,555,3121
460747,1,386,334,52
460756,1,426,27,399
460765,1,59,2,57
460774,1,600,58,542
460783,1,235,42,193
460808,1,12,2,10
460817,1,475,57,418
460826,1,485,56,429
460835,1,752,53,699
460844,1,451,79,372
460853,1,495,41,454
460862,1,348,25,323
460871,1,364,44,320
460899,1,422,163,259
460905,1,58,1,57
460914,1,177,2,175
460923,1,506,102,404
460932,1,55,0,55
460941,1,42,6,36
460950,1,64,19,45
460969,1,114,32,82
460978,1,154,8,146
460987,1,64,2,62
460996,1,100,2,98
461005,1,269,36,233
461014,1,617,38,579
461023,1,1089,172,917
461032,1,113,60,53
461041,1,469,48,421
461111,1,35,29,6
461120,1,113,70,43
461139,1,72,19,53
461148,1,1717,981,736
461157,1,50,46,4
461175,1,179,33,146
461193,1,89,2,87
461218,1,54,4,50
461227,1,47,2,45
461236,1,251,120,131
461245,1,338,91,247
461254,1,31,9,22
461263,1,77,20,57
461272,1,65,0,65
461281,1,159,8,151
461290,1,50,1,49
461306,1,138,54,84
461315,1,106,28,78
461324,1,249,72,177
461333,1,19,19,0
461342,1,13,0,13
461351,1,1135,213,922
461360,1,34,2,32
461379,1,18,1,17
461388,1,41,5,36
461397,1,270,38,232
461403,1,30,2,28
461412,1,96,31,65
461421,1,225,13,212
461430,1,308,303,5
461449,1,110,16,94
461458,1,33,1,32
461476,1,30,17,13
461485,1,76,69,7
461494,1,175,8,167
461500,1,43,6,37
461528,1,110,50,60
461537,1,25,0,25
461546,1,35,2,33
461555,1,132,7,125
461564,1,59,38,21
461573,1,97,94,3
461582,1,95,0,95
461591,1,134,15,119
461607,1,90,5,85
461616,1,29,1,28
461625,1,6,6,0
461634,1,51,19,32
461643,1,50,8,42
461652,1,67,6,61
461661,1,6,0,6
461670,1,68,7,61
461689,1,211,8,203
